Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,Minutes
6‑Jan‑2020,Atp Cup,Hard,RR,31,17,Karen Khachanov [RUS] d. Fritz,3-6 7-5 6-1,0.73,12.40%,6.70%,59.60%,79.20%,30.60%,3/7,1:51:00,
6‑Jan‑2020,Atp Cup,Hard,RR,31,82,Stefano Travaglia [ITA] d. Fritz,7-6(3) 7-6(1),0.68,7.40%,2.50%,70.40%,68.40%,62.50%,5/6,1:42:00,
6‑Jan‑2020,Atp Cup,Hard,RR,31,329,Fritz d. Viktor Durasovic [NOR],6-2 6-2,3.31,28.20%,5.10%,59.00%,95.70%,68.80%,1/1,1:01:00,
13‑Jan‑2020,Adelaide,Hard,R32,32,55,Alexander Bublik [KAZ] d. (5)Fritz,6-4 7-6(4),0.87,12.20%,1.20%,62.20%,60.80%,67.70%,3/4,1:36:00,
27‑Jan‑2020,Newport Beach CH,Hard,R16,34,164,(13)Mitchell Krueger [USA] d. (1)Fritz,6-4 3-6 6-3,0.9,20.00%,2.50%,62.50%,80.00%,53.30%,3/5,1:35:00,
27‑Jan‑2020,Newport Beach CH,Hard,R32,34,384,(1)Fritz d. (Q)Agustin Velotti [ARG],6-3 6-3,2.16,17.80%,4.40%,60.00%,92.60%,55.60%,0/1,0:58:00,
17‑Feb‑2020,Delray Beach,Hard,R32,38,60,(Q)Cameron Norrie [GBR] d. (3)Fritz,6-4 6-7(4) 6-4,0.88,13.10%,2.00%,64.60%,84.40%,37.10%,2/5,2:12:00,
24‑Feb‑2020,Acapulco,Hard,F,35,2,(1)Rafael Nadal [ESP] d. Fritz,6-3 6-2,0.46,21.30%,0.00%,63.80%,70.00%,35.30%,4/7,1:14:00,
24‑Feb‑2020,Acapulco,Hard,SF,35,20,Fritz d. (5)John Isner [USA],2-6 7-5 6-3,1.1,18.10%,4.80%,61.40%,80.40%,43.80%,5/8,1:41:00,
24‑Feb‑2020,Acapulco,Hard,QF,35,44,Fritz d. Kyle Edmund [GBR],6-4 6-3,1.15,15.70%,2.90%,55.70%,74.40%,35.50%,6/9,1:34:00,
